id,name,smiles,affinity
Halo_Gen1_0078,Memantine-Core-Propyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC2(CCC1)OCC(=O)O2,-9.295
Halo_Gen1_0074,Memantine-Core-Ethyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC2(CCC1)OCC(=O)O2,-9.17
Halo_Gen1_0070,Memantine-Core-Methyl-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2CC1CC2(CCC1)OCC(=O)O2,-9.095
Halo_Gen1_0106,Rimantadine-Core-Ethyl-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)CCC1CC2(CCC1)OCC(=O)O2,-9.052
Halo_Gen1_0098,Rimantadine-Core-Direct-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)C1CC2(CCC1)OCC(=O)O2,-9.027
Halo_Gen1_0042,Adamantane-2-Ethyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CCC1CC2(CCC1)OCC(=O)O2,-8.991
Halo_Gen1_0089,Memantine-Core-Amide-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CC(=O)C(C1)CC=CC,-8.951
Halo_Gen1_0110,Rimantadine-Core-Propyl-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CC2(CCC1)OCC(=O)O2,-8.905
Halo_Gen1_0102,Rimantadine-Core-Methyl-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)CC1CC2(CCC1)OCC(=O)O2,-8.901
Halo_Gen1_0094,Memantine-Core-ReverseAmide-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2C(=O)NC1CC2(CCC1)OCC(=O)O2,-8.866
Halo_Gen1_0090,Memantine-Core-Amide-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CC2(CCC1)OCC(=O)O2,-8.805
Halo_Gen1_0073,Memantine-Core-Ethyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC(=O)C(C1)CC=CC,-8.701
Halo_Gen1_0046,Adamantane-2-Propyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CCCC1CC2(CCC1)OCC(=O)O2,-8.676
Halo_Gen1_0122,Rimantadine-Core-Amide-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CC2(CCC1)OCC(=O)O2,-8.652
Halo_Gen1_0010,Adamantane-1-Ethyl-Lactone-Head,C12CC3CC(C1)CC(C3)C2CCC1CC2(CCC1)OCC(=O)O2,-8.627
Halo_Gen1_0072,Memantine-Core-Ethyl-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2CCC1CC(=O)C(C1)CC(=O)OC,-8.614
Halo_Gen1_0030,Adamantane-1-ReverseAmide-Lactone-Head,C12CC3CC(C1)CC(C3)C2C(=O)NC1CC2(CCC1)OCC(=O)O2,-8.579
Halo_Gen1_0069,Memantine-Core-Methyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CC1CC(=O)C(C1)CC=CC,-8.57
Halo_Gen1_0077,Memantine-Core-Propyl-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC(=O)C(C1)CC=CC,-8.557
Halo_Gen1_0113,Rimantadine-Core-Ether-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)OC1CC(=O)C(C1)CC=CC,-8.539
Halo_Gen1_0118,Rimantadine-Core-ThioEther-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)SC1CC2(CCC1)OCC(=O)O2,-8.522
Halo_Gen1_0058,Adamantane-2-Amide-Lactone-Head,C1C2CC3CC1CC(C2)C3NC(=O)C1CC2(CCC1)OCC(=O)O2,-8.511
Halo_Gen1_0064,Memantine-Core-Direct-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2C1CC(=O)C(C1)CC(=O)OC,-8.499
Halo_Gen1_0026,Adamantane-1-Amide-Lactone-Head,C12CC3CC(C1)CC(C3)C2NC(=O)C1CC2(CCC1)OCC(=O)O2,-8.491
Halo_Gen1_0105,Rimantadine-Core-Ethyl-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)CCC1CC(=O)C(C1)CC=CC,-8.488
Halo_Gen1_0076,Memantine-Core-Propyl-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CC(=O)C(C1)CC(=O)OC,-8.475
Halo_Gen1_0068,Memantine-Core-Methyl-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2CC1CC(=O)C(C1)CC(=O)OC,-8.473
Halo_Gen1_0041,Adamantane-2-Ethyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CCC1CC(=O)C(C1)CC=CC,-8.462
Halo_Gen1_0093,Memantine-Core-ReverseAmide-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2C(=O)NC1CC(=O)C(C1)CC=CC,-8.448
Halo_Gen1_0097,Rimantadine-Core-Direct-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)C1CC(=O)C(C1)CC=CC,-8.444
Halo_Gen1_0104,Rimantadine-Core-Ethyl-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)CCC1CC(=O)C(C1)CC(=O)OC,-8.436
Halo_Gen1_0038,Adamantane-2-Methyl-Lactone-Head,C1C2CC3CC1CC(C2)C3CC1CC2(CCC1)OCC(=O)O2,-8.434
Halo_Gen1_0014,Adamantane-1-Propyl-Lactone-Head,C12CC3CC(C1)CC(C3)C2CCCC1CC2(CCC1)OCC(=O)O2,-8.433
Halo_Gen1_0101,Rimantadine-Core-Methyl-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)CC1CC(=O)C(C1)CC=CC,-8.388
Halo_Gen1_0092,Memantine-Core-ReverseAmide-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2C(=O)NC1CC(=O)C(C1)CC(=O)OC,-8.362
Halo_Gen1_0006,Adamantane-1-Methyl-Lactone-Head,C12CC3CC(C1)CC(C3)C2CC1CC2(CCC1)OCC(=O)O2,-8.349
Halo_Gen1_0061,Adamantane-2-ReverseAmide-Jasmone-Core,C1C2CC3CC1CC(C2)C3C(=O)NC1CC(=O)C(C1)CC=CC,-8.337
Halo_Gen1_0062,Adamantane-2-ReverseAmide-Lactone-Head,C1C2CC3CC1CC(C2)C3C(=O)NC1CC2(CCC1)OCC(=O)O2,-8.319
Halo_Gen1_0114,Rimantadine-Core-Ether-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)OC1CC2(CCC1)OCC(=O)O2,-8.315
Halo_Gen1_0100,Rimantadine-Core-Methyl-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)CC1CC(=O)C(C1)CC(=O)OC,-8.304
Halo_Gen1_0117,Rimantadine-Core-ThioEther-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)SC1CC(=O)C(C1)CC=CC,-8.295
Halo_Gen1_0022,Adamantane-1-ThioEther-Lactone-Head,C12CC3CC(C1)CC(C3)C2SC1CC2(CCC1)OCC(=O)O2,-8.289
Halo_Gen1_0013,Adamantane-1-Propyl-Jasmone-Core,C12CC3CC(C1)CC(C3)C2CCCC1CC(=O)C(C1)CC=CC,-8.273
Halo_Gen1_0086,Memantine-Core-ThioEther-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2SC1CC2(CCC1)OCC(=O)O2,-8.267
Halo_Gen1_0005,Adamantane-1-Methyl-Jasmone-Core,C12CC3CC(C1)CC(C3)C2CC1CC(=O)C(C1)CC=CC,-8.245
Halo_Gen1_0001,Adamantane-1-Direct-Jasmone-Core,C12CC3CC(C1)CC(C3)C2C1CC(=O)C(C1)CC=CC,-8.244
Halo_Gen1_0079,Memantine-Core-Propyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CCCC1CCCCC1=O,-8.233
Halo_Gen1_0107,Rimantadine-Core-Ethyl-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)CCC1CCCCC1=O,-8.219
Halo_Gen1_0125,Rimantadine-Core-ReverseAmide-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)C(=O)NC1CC(=O)C(C1)CC=CC,-8.2
Halo_Gen1_0025,Adamantane-1-Amide-Jasmone-Core,C12CC3CC(C1)CC(C3)C2NC(=O)C1CC(=O)C(C1)CC=CC,-8.197
Halo_Gen1_0123,Rimantadine-Core-Amide-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CCCCC1=O,-8.172
Halo_Gen1_0109,Rimantadine-Core-Propyl-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CC(=O)C(C1)CC=CC,-8.15
Halo_Gen1_0029,Adamantane-1-ReverseAmide-Jasmone-Core,C12CC3CC(C1)CC(C3)C2C(=O)NC1CC(=O)C(C1)CC=CC,-8.15
Halo_Gen1_0065,Memantine-Core-Direct-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2C1CC(=O)C(C1)CC=CC,-8.138
Halo_Gen1_0040,Adamantane-2-Ethyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CCC1CC(=O)C(C1)CC(=O)OC,-8.111
Halo_Gen1_0057,Adamantane-2-Amide-Jasmone-Core,C1C2CC3CC1CC(C2)C3NC(=O)C1CC(=O)C(C1)CC=CC,-8.104
Halo_Gen1_0120,Rimantadine-Core-Amide-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CC(=O)C(C1)CC(=O)OC,-8.103
Halo_Gen1_0015,Adamantane-1-Propyl-Cyclohexanone,C12CC3CC(C1)CC(C3)C2CCCC1CCCCC1=O,-8.089
Halo_Gen1_0018,Adamantane-1-Ether-Lactone-Head,C12CC3CC(C1)CC(C3)C2OC1CC2(CCC1)OCC(=O)O2,-8.07
Halo_Gen1_0085,Memantine-Core-ThioEther-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2SC1CC(=O)C(C1)CC=CC,-8.034
Halo_Gen1_0088,Memantine-Core-Amide-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CC(=O)C(C1)CC(=O)OC,-8.03
Halo_Gen1_0096,Rimantadine-Core-Direct-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)C1CC(=O)C(C1)CC(=O)OC,-8.023
Halo_Gen1_0075,Memantine-Core-Ethyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CCC1CCCCC1=O,-8.014
Halo_Gen1_0045,Adamantane-2-Propyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CCCC1CC(=O)C(C1)CC=CC,-8.003
Halo_Gen1_0037,Adamantane-2-Methyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CC1CC(=O)C(C1)CC=CC,-7.985
Halo_Gen1_0012,Adamantane-1-Propyl-Hedione-Core,C12CC3CC(C1)CC(C3)C2CCCC1CC(=O)C(C1)CC(=O)OC,-7.973
Halo_Gen1_0124,Rimantadine-Core-ReverseAmide-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)C(=O)NC1CC(=O)C(C1)CC(=O)OC,-7.972
Halo_Gen1_0108,Rimantadine-Core-Propyl-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CC(=O)C(C1)CC(=O)OC,-7.96
Halo_Gen1_0084,Memantine-Core-ThioEther-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2SC1CC(=O)C(C1)CC(=O)OC,-7.956
Halo_Gen1_0081,Memantine-Core-Ether-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2OC1CC(=O)C(C1)CC=CC,-7.936
Halo_Gen1_0111,Rimantadine-Core-Propyl-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CCCCC1=O,-7.935
Halo_Gen1_0121,Rimantadine-Core-Amide-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CC(=O)C(C1)CC=CC,-7.919
Halo_Gen1_0044,Adamantane-2-Propyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CCCC1CC(=O)C(C1)CC(=O)OC,-7.912
Halo_Gen1_0050,Adamantane-2-Ether-Lactone-Head,C1C2CC3CC1CC(C2)C3OC1CC2(CCC1)OCC(=O)O2,-7.908
Halo_Gen1_0033,Adamantane-2-Direct-Jasmone-Core,C1C2CC3CC1CC(C2)C3C1CC(=O)C(C1)CC=CC,-7.908
Halo_Gen1_0004,Adamantane-1-Methyl-Hedione-Core,C12CC3CC(C1)CC(C3)C2CC1CC(=O)C(C1)CC(=O)OC,-7.895
Halo_Gen1_0054,Adamantane-2-ThioEther-Lactone-Head,C1C2CC3CC1CC(C2)C3SC1CC2(CCC1)OCC(=O)O2,-7.89
Halo_Gen1_0011,Adamantane-1-Ethyl-Cyclohexanone,C12CC3CC(C1)CC(C3)C2CCC1CCCCC1=O,-7.879
Halo_Gen1_0034,Adamantane-2-Direct-Lactone-Head,C1C2CC3CC1CC(C2)C3C1CC2(CCC1)OCC(=O)O2,-7.879
Halo_Gen1_0091,Memantine-Core-Amide-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CCCCC1=O,-7.876
Halo_Gen1_0066,Memantine-Core-Direct-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2C1CC2(CCC1)OCC(=O)O2,-7.868
Halo_Gen1_0071,Memantine-Core-Methyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CC1CCCCC1=O,-7.858
Halo_Gen1_0056,Adamantane-2-Amide-Hedione-Core,C1C2CC3CC1CC(C2)C3NC(=O)C1CC(=O)C(C1)CC(=O)OC,-7.853
Halo_Gen1_0008,Adamantane-1-Ethyl-Hedione-Core,C12CC3CC(C1)CC(C3)C2CCC1CC(=O)C(C1)CC(=O)OC,-7.853
Halo_Gen1_0002,Adamantane-1-Direct-Lactone-Head,C12CC3CC(C1)CC(C3)C2C1CC2(CCC1)OCC(=O)O2,-7.841
Halo_Gen1_0080,Memantine-Core-Ether-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2OC1CC(=O)C(C1)CC(=O)OC,-7.831
Halo_Gen1_0053,Adamantane-2-ThioEther-Jasmone-Core,C1C2CC3CC1CC(C2)C3SC1CC(=O)C(C1)CC=CC,-7.826
Halo_Gen1_0116,Rimantadine-Core-ThioEther-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)SC1CC(=O)C(C1)CC(=O)OC,-7.819
Halo_Gen1_0047,Adamantane-2-Propyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CCCC1CCCCC1=O,-7.804
Halo_Gen1_0059,Adamantane-2-Amide-Cyclohexanone,C1C2CC3CC1CC(C2)C3NC(=O)C1CCCCC1=O,-7.771
Halo_Gen1_0017,Adamantane-1-Ether-Jasmone-Core,C12CC3CC(C1)CC(C3)C2OC1CC(=O)C(C1)CC=CC,-7.768
Halo_Gen1_0112,Rimantadine-Core-Ether-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)OC1CC(=O)C(C1)CC(=O)OC,-7.762
Halo_Gen1_0043,Adamantane-2-Ethyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CCC1CCCCC1=O,-7.738
Halo_Gen1_0103,Rimantadine-Core-Methyl-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)CC1CCCCC1=O,-7.726
Halo_Gen1_0009,Adamantane-1-Ethyl-Jasmone-Core,C12CC3CC(C1)CC(C3)C2CCC1CC(=O)C(C1)CC=CC,-7.723
Halo_Gen1_0127,Rimantadine-Core-ReverseAmide-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)C(=O)NC1CCCCC1=O,-7.722
Halo_Gen1_0031,Adamantane-1-ReverseAmide-Cyclohexanone,C12CC3CC(C1)CC(C3)C2C(=O)NC1CCCCC1=O,-7.72
Halo_Gen1_0024,Adamantane-1-Amide-Hedione-Core,C12CC3CC(C1)CC(C3)C2NC(=O)C1CC(=O)C(C1)CC(=O)OC,-7.711
Halo_Gen1_0036,Adamantane-2-Methyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CC1CC(=O)C(C1)CC(=O)OC,-7.664
Halo_Gen1_0063,Adamantane-2-ReverseAmide-Cyclohexanone,C1C2CC3CC1CC(C2)C3C(=O)NC1CCCCC1=O,-7.658
Halo_Gen1_0000,Adamantane-1-Direct-Hedione-Core,C12CC3CC(C1)CC(C3)C2C1CC(=O)C(C1)CC(=O)OC,-7.655
Halo_Gen1_0060,Adamantane-2-ReverseAmide-Hedione-Core,C1C2CC3CC1CC(C2)C3C(=O)NC1CC(=O)C(C1)CC(=O)OC,-7.651
Halo_Gen1_0099,Rimantadine-Core-Direct-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)C1CCCCC1=O,-7.651
Halo_Gen1_0039,Adamantane-2-Methyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CC1CCCCC1=O,-7.631
Halo_Gen1_0028,Adamantane-1-ReverseAmide-Hedione-Core,C12CC3CC(C1)CC(C3)C2C(=O)NC1CC(=O)C(C1)CC(=O)OC,-7.61
Halo_Gen1_0021,Adamantane-1-ThioEther-Jasmone-Core,C12CC3CC(C1)CC(C3)C2SC1CC(=O)C(C1)CC=CC,-7.602
Halo_Gen1_0027,Adamantane-1-Amide-Cyclohexanone,C12CC3CC(C1)CC(C3)C2NC(=O)C1CCCCC1=O,-7.58
Halo_Gen1_0007,Adamantane-1-Methyl-Cyclohexanone,C12CC3CC(C1)CC(C3)C2CC1CCCCC1=O,-7.575
Halo_Gen1_0020,Adamantane-1-ThioEther-Hedione-Core,C12CC3CC(C1)CC(C3)C2SC1CC(=O)C(C1)CC(=O)OC,-7.575
Halo_Gen1_0049,Adamantane-2-Ether-Jasmone-Core,C1C2CC3CC1CC(C2)C3OC1CC(=O)C(C1)CC=CC,-7.525
Halo_Gen1_0052,Adamantane-2-ThioEther-Hedione-Core,C1C2CC3CC1CC(C2)C3SC1CC(=O)C(C1)CC(=O)OC,-7.512
Halo_Gen1_0119,Rimantadine-Core-ThioEther-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)SC1CCCCC1=O,-7.444
Halo_Gen1_0067,Memantine-Core-Direct-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2C1CCCCC1=O,-7.443
Halo_Gen1_0095,Memantine-Core-ReverseAmide-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2C(=O)NC1CCCCC1=O,-7.386
Halo_Gen1_0032,Adamantane-2-Direct-Hedione-Core,C1C2CC3CC1CC(C2)C3C1CC(=O)C(C1)CC(=O)OC,-7.282
Halo_Gen1_0048,Adamantane-2-Ether-Hedione-Core,C1C2CC3CC1CC(C2)C3OC1CC(=O)C(C1)CC(=O)OC,-7.275
Halo_Gen1_0115,Rimantadine-Core-Ether-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)OC1CCCCC1=O,-7.258
Halo_Gen1_0016,Adamantane-1-Ether-Hedione-Core,C12CC3CC(C1)CC(C3)C2OC1CC(=O)C(C1)CC(=O)OC,-7.226
Halo_Gen1_0023,Adamantane-1-ThioEther-Cyclohexanone,C12CC3CC(C1)CC(C3)C2SC1CCCCC1=O,-7.114
Halo_Gen1_0083,Memantine-Core-Ether-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2OC1CCCCC1=O,-7.114
Halo_Gen1_0055,Adamantane-2-ThioEther-Cyclohexanone,C1C2CC3CC1CC(C2)C3SC1CCCCC1=O,-7.069
Halo_Gen1_0087,Memantine-Core-ThioEther-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2SC1CCCCC1=O,-7.0
Halo_Gen1_0051,Adamantane-2-Ether-Cyclohexanone,C1C2CC3CC1CC(C2)C3OC1CCCCC1=O,-6.86
Halo_Gen1_0003,Adamantane-1-Direct-Cyclohexanone,C12CC3CC(C1)CC(C3)C2C1CCCCC1=O,-6.814
Halo_Gen1_0019,Adamantane-1-Ether-Cyclohexanone,C12CC3CC(C1)CC(C3)C2OC1CCCCC1=O,-6.785
Halo_Gen1_0035,Adamantane-2-Direct-Cyclohexanone,C1C2CC3CC1CC(C2)C3C1CCCCC1=O,-6.517
Halo_Gen1_0126,Rimantadine-Core-ReverseAmide-Lactone-Head,CC(C12CC3CC(C1)CC(C3)C2)C(=O)NC1CC2(CCC1)OCC(=O)O2,-4.836
Halo_Gen1_0082,Memantine-Core-Ether-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2OC1CC2(CCC1)OCC(=O)O2,3.545
